,nombre,equipo,posicion,ritmo,tiro,pase,regate,defensa,fisico,salto,estirada,parada,saque,colocacion,reflejos
235,NACHO VIDAL,OSASUNA,DEFENSA,77.0,50.0,70.0,71.0,59.0,68.0,,,,,,
236,JUAN CRUZ,OSASUNA,DEFENSA,67.25,44.0,60.625,64.5,55.375,70.375,,,,,,
237,MANU SANCHEZ,OSASUNA,DEFENSA,73.0,43.0,59.0,70.0,57.0,65.0,,,,,,
238,UNAI,OSASUNA,DEFENSA,63.0,38.0,53.0,57.0,54.0,71.0,,,,,,
239,COTE,OSASUNA,DEFENSA,67.0,63.0,74.0,70.0,61.0,69.0,,,,,,
240,ARIDANE,OSASUNA,DEFENSA,59.0,46.0,52.0,57.0,53.0,79.0,,,,,,
241,JESUS ARESO,OSASUNA,DEFENSA,73.0,38.0,63.0,71.0,50.0,69.0,,,,,,
242,J. RAMALHO,OSASUNA,DEFENSA,71.0,38.0,56.0,61.0,52.0,73.0,,,,,,
243,MONCAYOLA,OSASUNA,CENTROCAMPISTA,68.0,57.0,70.0,69.0,59.0,66.0,,,,,,
244,LUCAS TORRO,OSASUNA,CENTROCAMPISTA,44.0,60.0,64.0,64.0,52.0,67.0,,,,,,
245,D. BRASANAC,OSASUNA,CENTROCAMPISTA,59.0,64.0,71.0,69.0,60.0,69.0,,,,,,
246,OIER,OSASUNA,CENTROCAMPISTA,65.0,58.0,71.0,68.0,61.0,72.0,,,,,,
247,ROBERTO TORRES,OSASUNA,CENTROCAMPISTA,70.0,77.0,79.0,74.0,59.0,71.0,,,,,,
248,JAVI MARTINEZ,OSASUNA,CENTROCAMPISTA,69.0,52.0,51.0,66.0,38.0,65.0,,,,,,
249,INIGO PEREZ,OSASUNA,CENTROCAMPISTA,59.0,72.0,77.0,66.0,57.0,72.0,,,,,,
250,CHIMY AVILA,OSASUNA,DELANTERO,82.0,71.0,64.0,77.0,48.0,78.0,,,,,,
251,A. BUDIMIR,OSASUNA,DELANTERO,66.0,57.0,44.0,68.0,34.0,67.0,,,,,,
252,KIKE GARCIA,OSASUNA,DELANTERO,62.0,65.0,58.0,69.0,38.0,70.0,,,,,,
253,RUBEN GARCIA,OSASUNA,DELANTERO,81.0,74.0,79.0,82.0,48.0,68.0,,,,,,
254,KIKE BARJA,OSASUNA,DELANTERO,77.0,51.0,62.0,75.0,37.0,66.0,,,,,,
255,JAVI ONTIVEROS,OSASUNA,DELANTERO,79.0,76.0,73.0,78.0,42.0,61.0,,,,,,
256,BARBERO,OSASUNA,DELANTERO,71.0,52.0,42.0,62.0,26.0,63.0,,,,,,
257,M. DITURO,RC CELTA,PORTERO,,,,,,,56.0,65.0,72.0,76.0,71.0,68.0
258,RUBEN BLANCO,RC CELTA,PORTERO,,,,,,,62.0,79.0,75.0,73.0,76.0,74.0
259,N. ARAUJO,RC CELTA,DEFENSA,67.0,44.0,51.0,58.0,54.0,68.0,,,,,,
260,JAVI GALAN,RC CELTA,DEFENSA,79.0,61.0,70.0,75.0,57.0,71.0,,,,,,
261,J. AIDOO,RC CELTA,DEFENSA,75.0,27.0,35.0,54.0,53.0,76.0,,,,,,
262,HUGO MALLO,RC CELTA,DEFENSA,67.0,48.0,69.0,68.0,57.0,76.0,,,,,,
263,J. MURILLO,RC CELTA,DEFENSA,74.0,40.0,57.0,67.0,59.0,77.0,,,,,,
264,C. DOMINGUEZ,RC CELTA,DEFENSA,71.83333333333333,45.0,57.666666666666664,64.33333333333333,56.5,71.83333333333333,,,,,,
265,KEVIN VAZQUEZ,RC CELTA,DEFENSA,69.0,50.0,64.0,64.0,59.0,63.0,,,,,,
266,JOSE FONTAN,RC CELTA,DEFENSA,71.83333333333333,45.0,57.666666666666664,64.33333333333333,56.5,71.83333333333333,,,,,,
267,BRAIS MENDEZ,RC CELTA,CENTROCAMPISTA,72.0,73.0,75.0,73.0,45.0,68.0,,,,,,
268,D. SUAREZ,RC CELTA,CENTROCAMPISTA,74.0,73.0,81.0,79.0,54.0,68.0,,,,,,
269,R. TAPIA,RC CELTA,CENTROCAMPISTA,67.0,65.0,71.0,71.0,65.0,75.0,,,,,,
270,F. BELTRAN,RC CELTA,CENTROCAMPISTA,66.0,57.0,72.0,75.0,62.0,69.0,,,,,,
271,O. PINEDA,RC CELTA,CENTROCAMPISTA,84.0,67.0,71.0,82.0,58.0,73.0,,,,,,
272,A. SOLARI,RC CELTA,CENTROCAMPISTA,86.0,63.0,70.0,79.0,54.0,78.0,,,,,,
273,IAGO ASPAS,RC CELTA,DELANTERO,82.0,81.0,79.0,85.0,39.0,74.0,,,,,,
274,T. GALHARDO,RC CELTA,DELANTERO,81.25,73.0,73.0,82.25,52.5,73.0,,,,,,
275,SANTI MINA,RC CELTA,DELANTERO,78.0,67.0,68.0,77.0,61.0,76.0,,,,,,
276,F. CERVI,RC CELTA,DELANTERO,93.0,68.0,69.0,88.0,57.0,70.0,,,,,,
277,NOLITO,RC CELTA,DELANTERO,72.0,76.0,76.0,79.0,53.0,72.0,,,,,,
278,S. DIMITRIEVSKI,RAYO VALLECANO,PORTERO,,,,,,,60.0,74.0,71.0,70.0,75.0,73.0
279,L. ZIDANE,RAYO VALLECANO,PORTERO,,,,,,,67.0,68.0,64.0,63.0,64.0,69.0
280,CATENA,RAYO VALLECANO,DEFENSA,66.0,37.0,49.0,54.0,50.0,69.0,,,,,,
281,FRAN GARCIA,RAYO VALLECANO,DEFENSA,89.0,49.0,58.0,76.0,57.0,64.0,,,,,,
282,I. BALLIU,RAYO VALLECANO,DEFENSA,80.0,50.0,68.0,75.0,57.0,71.0,,,,,,
283,N. MARAS,RAYO VALLECANO,DEFENSA,67.0,31.0,43.0,59.0,49.0,70.0,,,,,,
284,K. RODRIGUES,RAYO VALLECANO,DEFENSA,75.0,53.0,74.0,73.0,61.0,65.0,,,,,,
285,MARIO SUAREZ,RAYO VALLECANO,DEFENSA,59.0,65.0,74.0,67.0,67.0,67.0,,,,,,
286,E. SAVELJICH,RAYO VALLECANO,DEFENSA,47.0,34.0,43.0,41.0,44.0,62.0,,,,,,
287,M. HERNANDEZ,RAYO VALLECANO,DEFENSA,71.0,30.0,43.0,57.0,46.0,66.0,,,,,,
288,OSCAR VALENTIN,RAYO VALLECANO,CENTROCAMPISTA,64.0,48.0,58.0,63.0,56.0,68.0,,,,,,
289,O. TREJO,RAYO VALLECANO,CENTROCAMPISTA,70.0,72.0,72.0,76.0,58.0,78.0,,,,,,
290,S. COMESANA,RAYO VALLECANO,CENTROCAMPISTA,60.0,56.0,61.0,68.0,54.0,68.0,,,,,,
291,UNAI LOPEZ,RAYO VALLECANO,CENTROCAMPISTA,75.0,72.0,77.0,80.0,60.0,76.0,,,,,,
292,P. CISS,RAYO VALLECANO,CENTROCAMPISTA,67.25,62.0,67.0,71.75,57.0,72.5,,,,,,
293,R. NTEKA,RAYO VALLECANO,CENTROCAMPISTA,67.25,62.0,67.0,71.75,57.0,72.5,,,,,,
294,ALVARO GARCIA,RAYO VALLECANO,DELANTERO,93.0,58.0,65.0,79.0,40.0,72.0,,,,,,
295,ISI PALAZON,RAYO VALLECANO,DELANTERO,85.0,68.0,64.0,80.0,45.0,71.0,,,,,,
296,R. FALCAO,RAYO VALLECANO,DELANTERO,63.0,77.0,67.0,73.0,44.0,73.0,,,,,,
297,SERGI GUARDIOLA,RAYO VALLECANO,DELANTERO,73.0,67.0,61.0,75.0,36.0,74.0,,,,,,
298,BEBE,RAYO VALLECANO,DELANTERO,81.0,74.0,67.0,72.0,35.0,75.0,,,,,,
299,MAMADOU SYLLA,RAYO VALLECANO,DELANTERO,76.0,63.0,60.0,73.0,43.0,71.0,,,,,,
300,MERQUELANZ,RAYO VALLECANO,DELANTERO,74.0,76.0,74.0,75.0,52.0,65.0,,,,,,
301,EDGAR BADIA,ELCHE CF,PORTERO,,,,,,,57.0,76.0,71.0,76.0,78.0,81.0
302,KIKO CASILLA,ELCHE CF,PORTERO,,,,,,,69.0,72.0,69.0,71.0,68.0,72.0
303,J. MOJICA,ELCHE CF,DEFENSA,90.0,64.0,71.0,77.0,57.0,71.0,,,,,,
304,E. ROCO,ELCHE CF,DEFENSA,49.0,34.0,49.0,55.0,64.0,73.0,,,,,,
305,GONZALO VERDU,ELCHE CF,DEFENSA,62.0,54.0,53.0,58.0,51.0,72.0,,,,,,
306,H. PALACIOS,ELCHE CF,DEFENSA,84.0,41.0,57.0,69.0,55.0,75.0,,,,,,
307,P. BIGAS,ELCHE CF,DEFENSA,66.0,48.0,56.0,62.0,56.0,68.0,,,,,,
308,L. OLAZA,ELCHE CF,DEFENSA,77.0,75.0,73.0,74.0,64.0,69.0,,,,,,
309,DIEGO GONZALEZ,ELCHE CF,DEFENSA,69.0,40.0,60.0,64.0,49.0,71.0,,,,,,
310,A. BARRAGAN,ELCHE CF,DEFENSA,6.0,8.0,11.0,8.0,10.0,70.0,,,,,,
311,G. GUMBAU,ELCHE CF,CENTROCAMPISTA,39.0,63.0,66.0,57.0,50.0,57.0,,,,,,
312,J. PASTORE,ELCHE CF,CENTROCAMPISTA,56.0,76.0,77.0,70.0,50.0,53.0,,,,,,
313,OMAR MASCARELL,ELCHE CF,CENTROCAMPISTA,58.0,64.0,67.0,71.0,58.0,74.0,,,,,,
314,RAUL GUTI,ELCHE CF,CENTROCAMPISTA,61.0,34.0,39.0,41.0,58.0,55.0,,,,,,
315,I. MARCONE,ELCHE CF,CENTROCAMPISTA,48.0,62.0,69.0,65.0,59.0,70.0,,,,,,
316,KIKE PEREZ,ELCHE CF,CENTROCAMPISTA,62.0,59.0,67.0,69.0,53.0,65.0,,,,,,
317,D. BENEDETTO,ELCHE CF,DELANTERO,81.0,72.0,66.0,76.0,42.0,77.0,,,,,,
318,PERE MILLA,ELCHE CF,DELANTERO,77.0,66.0,66.0,78.0,38.0,68.0,,,,,,
319,L. BOYE,ELCHE CF,DELANTERO,75.0,60.0,64.0,78.0,43.0,71.0,,,,,,
320,FIDEL,ELCHE CF,DELANTERO,75.0,67.0,71.0,74.0,47.0,72.0,,,,,,
321,E. PONCE,ELCHE CF,DELANTERO,77.0,67.0,60.0,75.0,40.0,75.0,,,,,,
322,TETE MORENTE,ELCHE CF,DELANTERO,82.0,71.0,69.0,78.0,38.0,70.0,,,,,,
323,JOSAN,ELCHE CF,DELANTERO,82.0,56.0,55.0,73.0,41.0,61.0,,,,,,
324,P. PIATTI,ELCHE CF,DELANTERO,82.0,72.0,75.0,80.0,48.0,69.0,,,,,,
325,DIEGO LOPEZ,ESPANYOL,PORTERO,,,,,,,65.0,72.0,75.0,71.0,79.0,74.0
326,OIER,ESPANYOL,PORTERO,,,,,,,66.0,74.0,72.0,72.0,75.0,71.0
327,JOAN GARCIA,ESPANYOL,PORTERO,,,,,,,65.5,73.0,73.5,71.5,77.0,72.5
328,L. CABRERA,ESPANYOL,DEFENSA,58.0,43.0,55.0,59.0,51.0,77.0,,,,,,
329,A. PEDROSA,ESPANYOL,DEFENSA,88.0,55.0,70.0,79.0,59.0,70.0,,,,,,
330,SERGI GOMEZ,ESPANYOL,DEFENSA,62.0,44.0,61.0,62.0,56.0,71.0,,,,,,
331,OSCAR GIL,ESPANYOL,DEFENSA,70.875,52.375,64.875,69.25,56.625,72.125,,,,,,
332,DAVID LOPEZ,ESPANYOL,DEFENSA,57.0,58.0,64.0,62.0,58.0,69.0,,,,,,
333,F. CALERO,ESPANYOL,DEFENSA,68.0,49.0,67.0,70.0,58.0,76.0,,,,,,
334,ALEIX VIDAL,ESPANYOL,DEFENSA,85.0,61.0,70.0,79.0,60.0,73.0,,,,,,
335,DIDAC VILA,ESPANYOL,DEFENSA,72.0,57.0,68.0,69.0,56.0,71.0,,,,,,
336,MIGUEL LLAMBRICH,ESPANYOL,DEFENSA,77.0,52.0,64.0,74.0,55.0,70.0,,,,,,
337,S. DARDER,ESPANYOL,CENTROCAMPISTA,64.0,76.0,77.0,74.0,60.0,68.0,,,,,,
338,Y. HERRERA,ESPANYOL,CENTROCAMPISTA,66.0,61.0,71.0,71.0,62.0,72.0,,,,,,
339,T. VILHENA,ESPANYOL,CENTROCAMPISTA,75.0,73.0,76.0,78.0,61.0,79.0,,,,,,
340,K. BARE,ESPANYOL,CENTROCAMPISTA,74.0,60.0,68.0,74.0,60.0,71.0,,,,,,
341,MANU MORLANES,ESPANYOL,CENTROCAMPISTA,69.0,65.0,71.0,75.0,56.0,66.0,,,,,,
342,O. MELENDO,ESPANYOL,CENTROCAMPISTA,79.0,65.0,78.0,81.0,53.0,67.0,,,,,,
343,FRAN MERIDA,ESPANYOL,CENTROCAMPISTA,60.0,74.0,78.0,69.0,59.0,68.0,,,,,,
344,RAUL DE TOMAS,ESPANYOL,DELANTERO,75.0,77.0,63.0,77.0,38.0,74.0,,,,,,
345,J. PUADO,ESPANYOL,DELANTERO,83.0,62.0,65.0,80.0,45.0,75.0,,,,,,
346,A. EMBARBA,ESPANYOL,DELANTERO,83.0,73.0,75.0,80.0,53.0,74.0,,,,,,
347,WU LEI,ESPANYOL,DELANTERO,84.0,70.0,69.0,78.0,42.0,75.0,,,,,,
348,NICO MELAMED,ESPANYOL,DELANTERO,80.0,55.0,65.0,77.0,41.0,63.0,,,,,,
349,LOREN MORON,ESPANYOL,DELANTERO,73.0,71.0,59.0,74.0,34.0,73.0,,,,,,
350,L. DIMATA,ESPANYOL,DELANTERO,76.0,58.0,60.0,71.0,36.0,70.0,,,,,,
351,DAVID SORIA,GETAFE,PORTERO,,,,,,,61.0,83.0,81.0,72.0,81.0,84.0
352,RUBEN YANEZ,GETAFE,PORTERO,,,,,,,59.0,67.0,66.0,62.0,66.0,70.0
353,D. CONDE,GETAFE,PORTERO,,,,,,,60.0,75.0,73.5,67.0,73.5,77.0
354,M. OLIVERA,GETAFE,DEFENSA,77.0,50.0,65.0,72.0,57.0,75.0,,,,,,
355,S. MITROVIC,GETAFE,DEFENSA,33.0,37.0,48.0,45.0,48.0,68.0,,,,,,
356,D. DJENE,GETAFE,DEFENSA,72.0,43.0,59.0,66.0,62.0,77.0,,,,,,
357,DAMIAN SUAREZ,GETAFE,DEFENSA,75.0,71.0,73.0,75.0,62.0,76.0,,,,,,
358,J. CUENCA,GETAFE,DEFENSA,56.0,35.0,50.0,50.0,49.0,64.0,,,,,,
359,JUAN IGLESIAS,GETAFE,DEFENSA,63.42857142857143,49.0,58.42857142857143,62.57142857142857,55.285714285714285,71.57142857142857,,,,,,
360,J. SILVA,GETAFE,DEFENSA,73.0,70.0,67.0,73.0,58.0,71.0,,,,,,
361,G. ALVAREZ,GETAFE,DEFENSA,63.42857142857143,49.0,58.42857142857143,62.57142857142857,55.285714285714285,71.57142857142857,,,,,,
362,E. CABACO,GETAFE,DEFENSA,58.0,37.0,47.0,57.0,51.0,70.0,,,,,,
363,N. MAKSIMOVIC,GETAFE,CENTROCAMPISTA,59.0,65.0,72.0,66.0,60.0,75.0,,,,,,
364,M. ARAMBARRI,GETAFE,CENTROCAMPISTA,52.0,63.0,70.0,65.0,62.0,69.0,,,,,,
365,C. ALENA,GETAFE,CENTROCAMPISTA,72.0,62.0,72.0,74.0,54.0,67.0,,,,,,
366,FLORENTINO,GETAFE,CENTROCAMPISTA,65.0,44.0,59.0,68.0,59.0,69.0,,,,,,
367,OSCAR RODRIGUEZ,GETAFE,CENTROCAMPISTA,63.0,73.0,74.0,72.0,49.0,63.0,,,,,,
368,O. YOKUSLU,GETAFE,CENTROCAMPISTA,66.0,72.0,71.0,68.0,58.0,74.0,,,,,,
369,GONZALO VILLAR,GETAFE,CENTROCAMPISTA,64.71428571428571,63.57142857142857,69.85714285714286,69.71428571428571,57.142857142857146,69.0,,,,,,
370,J. JANKTO,GETAFE,CENTROCAMPISTA,76.0,66.0,71.0,75.0,58.0,66.0,,,,,,
371,E. UNAL,GETAFE,DELANTERO,69.0,72.0,62.0,74.0,39.0,76.0,,,,,,
372,B. MAYORAL,GETAFE,DELANTERO,67.0,67.0,65.0,74.0,40.0,74.0,,,,,,
373,J. MACIAS,GETAFE,DELANTERO,73.0,60.0,56.0,73.0,35.0,67.0,,,,,,
374,J. MATA,GETAFE,DELANTERO,69.0,65.0,60.0,72.0,35.0,74.0,,,,,,
375,SANDRO RAMIREZ,GETAFE,DELANTERO,67.0,78.0,66.0,75.0,39.0,68.0,,,,,,
376,VITOLO,GETAFE,DELANTERO,76.0,73.0,77.0,76.0,35.0,73.0,,,,,,
377,MANOLO REINA,MALLORCA,PORTERO,,,,,,,68.0,68.0,70.0,64.0,71.0,68.0
378,SERGIO RICO,MALLORCA,PORTERO,,,,,,,63.0,77.0,74.0,77.0,74.0,80.0
379,D. GREIF,MALLORCA,PORTERO,,,,,,,65.5,72.5,72.0,70.5,72.5,74.0
380,LEO ROMAN,MALLORCA,PORTERO,,,,,,,65.5,72.5,72.0,70.5,72.5,74.0
381,M. VALJENT,MALLORCA,DEFENSA,68.0,44.0,54.0,67.0,56.0,77.0,,,,,,
382,P. MAFFEO,MALLORCA,DEFENSA,86.0,47.0,69.0,78.0,61.0,69.0,,,,,,
383,RAILLO,MALLORCA,DEFENSA,61.0,43.0,49.0,54.0,64.0,66.0,,,,,,
384,JAUME COSTA,MALLORCA,DEFENSA,75.0,61.0,70.0,74.0,62.0,69.0,,,,,,
385,BRIAN OLIVAN,MALLORCA,DEFENSA,74.0,55.0,62.0,69.0,55.0,71.0,,,,,,
386,G. GONZALEZ,MALLORCA,DEFENSA,74.0,52.0,58.0,71.0,57.0,71.0,,,,,,
387,FRANCO RUSSO,MALLORCA,DEFENSA,63.0,33.0,46.0,49.0,50.0,66.0,,,,,,
388,A. SEDLAR,MALLORCA,DEFENSA,56.0,29.0,45.0,55.0,50.0,75.0,,,,,,
389,DANI RODRIGUEZ,MALLORCA,CENTROCAMPISTA,85.0,65.0,72.0,74.0,56.0,70.0,,,,,,
390,SALVA SEVILLA,MALLORCA,CENTROCAMPISTA,47.0,74.0,80.0,61.0,51.0,55.0,,,,,,
391,KANG-IN LEE,MALLORCA,CENTROCAMPISTA,65.0,64.57142857142857,69.14285714285714,68.0,55.42857142857143,66.0,,,,,,
392,BABA,MALLORCA,CENTROCAMPISTA,66.0,49.0,57.0,60.0,56.0,65.0,,,,,,
393,I. RUIZ DE GALARRETA,MALLORCA,CENTROCAMPISTA,69.0,58.0,67.0,72.0,59.0,67.0,,,,,,
394,ANTONIO SANCHEZ,MALLORCA,CENTROCAMPISTA,71.0,66.0,66.0,73.0,51.0,68.0,,,,,,
395,R. BATTAGLIA,MALLORCA,CENTROCAMPISTA,65.0,62.0,63.0,69.0,62.0,72.0,,,,,,
396,C. GRENIER,MALLORCA,CENTROCAMPISTA,52.0,78.0,79.0,67.0,53.0,65.0,,,,,,
397,V. MURIQI,MALLORCA,DELANTERO,55.0,61.0,54.0,58.0,29.0,70.0,,,,,,
398,T. KUBO,MALLORCA,DELANTERO,83.0,65.0,66.0,86.0,45.0,67.0,,,,,,
399,V. MOLLEJO,MALLORCA,DELANTERO,77.0,56.0,66.0,73.0,46.0,68.0,,,,,,
400,ANGEL,MALLORCA,DELANTERO,73.0,70.0,60.0,76.0,39.0,71.0,,,,,,
401,FER NINO,MALLORCA,DELANTERO,67.0,58.0,56.0,67.0,38.0,70.0,,,,,,
402,AMATH NDIAYE,MALLORCA,DELANTERO,93.0,68.0,66.0,84.0,46.0,72.0,,,,,,
403,ABDON,MALLORCA,DELANTERO,69.0,70.0,56.0,68.0,36.0,68.0,,,,,,
404,M. HOPPE,MALLORCA,DELANTERO,73.85714285714286,64.0,60.57142857142857,73.14285714285714,39.857142857142854,69.42857142857143,,,,,,
405,J. LEDESMA,CADIZ CF,PORTERO,,,,,,,67.0,76.0,74.0,67.0,74.0,77.0
406,DAVID GIL,CADIZ CF,PORTERO,,,,,,,57.0,66.0,69.0,67.0,61.0,65.0
407,PACHA ESPINO,CADIZ CF,DEFENSA,63.8,53.8,59.6,61.2,55.4,71.4,,,,,,
408,LUIS HERNANDEZ,CADIZ CF,DEFENSA,67.0,55.0,62.0,64.0,56.0,76.0,,,,,,
409,FALI,CADIZ CF,DEFENSA,56.0,60.0,63.0,58.0,53.0,71.0,,,,,,
410,IZA,CADIZ CF,DEFENSA,79.0,69.0,70.0,73.0,58.0,70.0,,,,,,
411,V. CHUST,CADIZ CF,DEFENSA,63.8,53.8,59.6,61.2,55.4,71.4,,,,,,
412,V. HAROYAN,CADIZ CF,DEFENSA,57.0,28.0,40.0,51.0,58.0,64.0,,,,,,
413,S. ARZAMENDIA,CADIZ CF,DEFENSA,63.8,53.8,59.6,61.2,55.4,71.4,,,,,,
414,JUAN CALA,CADIZ CF,DEFENSA,60.0,57.0,63.0,60.0,52.0,76.0,,,,,,
415,ALEX,CADIZ CF,CENTROCAMPISTA,54.0,63.0,73.0,67.0,67.0,65.0,,,,,,
416,J. JONSSON,CADIZ CF,CENTROCAMPISTA,73.0,54.0,63.0,70.0,56.0,75.0,,,,,,
417,RUBEN ALCARAZ,CADIZ CF,CENTROCAMPISTA,57.0,69.0,68.0,58.0,63.0,64.0,,,,,,
418,F. SAN EMETERIO,CADIZ CF,CENTROCAMPISTA,63.0,57.0,61.0,60.0,61.0,70.0,,,,,,
419,JOSE MARI,CADIZ CF,CENTROCAMPISTA,68.0,67.0,67.0,67.0,55.0,71.0,,,,,,
420,T. ALARCON,CADIZ CF,CENTROCAMPISTA,63.0,62.0,66.4,64.4,60.4,69.0,,,,,,
421,LUCAS PEREZ,CADIZ CF,DELANTERO,79.0,80.0,76.0,77.0,40.0,71.0,,,,,,
422,A. NEGREDO,CADIZ CF,DELANTERO,63.0,74.0,61.0,67.0,39.0,75.0,,,,,,
423,RUBEN SOBRINO,CADIZ CF,DELANTERO,79.0,71.0,62.0,75.0,37.0,68.0,,,,,,
424,CHOCO LOZANO,CADIZ CF,DELANTERO,80.0,60.0,64.0,73.0,38.0,74.0,,,,,,
425,O. IDRISSI,CADIZ CF,DELANTERO,84.0,77.0,72.0,83.0,40.0,66.0,,,,,,
426,SALVI,CADIZ CF,DELANTERO,76.57142857142857,71.0,67.0,75.0,40.42857142857143,70.42857142857143,,,,,,
427,IVAN ALEJO,CADIZ CF,DELANTERO,77.0,68.0,73.0,76.0,41.0,66.0,,,,,,
428,F. ANDONE,CADIZ CF,DELANTERO,74.0,67.0,61.0,74.0,48.0,73.0,,,,,,
429,A. PEREA,CADIZ CF,DELANTERO,76.57142857142857,71.0,67.0,75.0,40.42857142857143,70.42857142857143,,,,,,
430,LUIS MAXIMIANO,GRANADA,PORTERO,,,,,,,63.0,77.0,74.0,65.0,74.0,78.0
431,AARON ESCANDELL,GRANADA,PORTERO,,,,,,,69.0,67.0,70.0,66.0,67.0,72.0
432,JOAO COSTA,GRANADA,PORTERO,,,,,,,57.0,64.0,63.0,55.0,64.0,63.0
433,D. DUARTE,GRANADA,DEFENSA,61.0,32.0,52.0,53.0,55.0,67.0,,,,,,
434,CARLOS NEVA,GRANADA,DEFENSA,78.0,48.0,61.0,75.0,61.0,70.0,,,,,,
435,S. ESCUDERO,GRANADA,DEFENSA,72.0,66.0,73.0,71.0,62.0,73.0,,,,,,
436,QUINI,GRANADA,DEFENSA,74.0,59.0,65.0,72.0,59.0,64.0,,,,,,
437,GERMAN SANCHEZ,GRANADA,DEFENSA,55.0,34.0,53.0,53.0,55.0,68.0,,,,,,
438,VICTOR DIAZ,GRANADA,DEFENSA,73.0,54.0,67.0,68.0,58.0,75.0,,,,,,
439,S. ARIAS,GRANADA,DEFENSA,80.0,50.0,67.0,77.0,63.0,78.0,,,,,,
440,RAUL TORRENTE,GRANADA,DEFENSA,69.75,47.75,60.25,65.75,57.75,70.25,,,,,,
441,NEYDER YESSY,GRANADA,DEFENSA,65.0,39.0,44.0,57.0,49.0,67.0,,,,,,
442,LUIS MILLA,GRANADA,CENTROCAMPISTA,77.0,69.0,75.0,76.0,64.0,76.0,,,,,,
443,M. GONALONS,GRANADA,CENTROCAMPISTA,54.0,61.0,70.0,65.0,59.0,69.0,,,,,,
444,MONTORO,GRANADA,CENTROCAMPISTA,50.0,68.0,70.0,66.0,58.0,66.0,,,,,,
445,N. PETROVIC,GRANADA,CENTROCAMPISTA,64.0,65.83333333333333,71.0,70.5,57.166666666666664,68.16666666666667,,,,,,
446,ALEX COLLADO,GRANADA,CENTROCAMPISTA,65.0,68.0,70.0,68.0,50.0,54.0,,,,,,
447,R. ROCHINA,GRANADA,CENTROCAMPISTA,72.0,78.0,78.0,78.0,53.0,70.0,,,,,,
448,Y. ETEKI,GRANADA,CENTROCAMPISTA,66.0,51.0,63.0,70.0,59.0,74.0,,,,,,
449,ISMA RUIZ,GRANADA,CENTROCAMPISTA,64.0,65.83333333333333,71.0,70.5,57.166666666666664,68.16666666666667,,,,,,
450,ANTONIO PUERTAS,GRANADA,DELANTERO,78.0,65.0,71.0,78.0,45.0,76.0,,,,,,
451,M. UZUNI,GRANADA,DELANTERO,73.14285714285714,67.0,68.0,74.14285714285714,42.285714285714285,69.14285714285714,,,,,,
452,DARWIN MACHIS,GRANADA,DELANTERO,88.0,73.0,73.0,86.0,45.0,78.0,,,,,,
453,JORGE MOLINA,GRANADA,DELANTERO,42.0,73.0,64.0,56.0,36.0,59.0,,,,,,
454,C. BACCA,GRANADA,DELANTERO,68.0,68.0,64.0,72.0,37.0,69.0,,,,,,
455,LUIS SUAREZ,GRANADA,DELANTERO,87.0,70.0,65.0,78.0,46.0,76.0,,,,,,
456,M. AREZO,GRANADA,DELANTERO,73.14285714285714,67.0,68.0,74.14285714285714,42.285714285714285,69.14285714285714,,,,,,
457,DANI RABA,GRANADA,DELANTERO,68.0,61.0,71.0,72.0,41.0,61.0,,,,,,
458,ALBERTO SORO,GRANADA,DELANTERO,81.0,59.0,68.0,77.0,46.0,65.0,,,,,,
459,DANI CARDENAS,LEVANTE,PORTERO,,,,,,,67.0,72.0,63.0,71.0,66.0,71.0
460,AITOR FERNANDEZ,LEVANTE,PORTERO,,,,,,,80.0,82.0,78.0,70.0,81.0,83.0
461,O. DUARTE,LEVANTE,DEFENSA,54.0,42.0,49.0,52.0,51.0,67.0,,,,,,
462,R. VEZO,LEVANTE,DEFENSA,76.0,51.0,63.0,67.0,59.0,75.0,,,,,,
463,SON,LEVANTE,DEFENSA,84.0,50.0,64.0,75.0,58.0,71.0,,,,,,
464,MIRAMON,LEVANTE,DEFENSA,74.0,59.0,73.0,71.0,58.0,71.0,,,,,,
465,M. CACERES,LEVANTE,DEFENSA,68.0,61.0,64.0,68.0,60.0,73.0,,,,,,
466,ROBER,LEVANTE,DEFENSA,50.0,41.0,58.0,58.0,56.0,64.0,,,,,,
467,C. CLERC,LEVANTE,DEFENSA,87.0,60.0,71.0,77.0,60.0,75.0,,,,,,
468,SERGIO POSTIGO,LEVANTE,DEFENSA,69.0,36.0,51.0,59.0,51.0,68.0,,,,,,
469,S. MUSTAFI,LEVANTE,DEFENSA,58.0,54.0,60.0,60.0,57.0,72.0,,,,,,
470,COKE,LEVANTE,DEFENSA,64.0,61.0,68.0,67.0,58.0,67.0,,,,,,
471,M. SARACCHI,LEVANTE,DEFENSA,82.0,62.0,71.0,77.0,59.0,73.0,,,,,,
472,E. FRANQUESA,LEVANTE,DEFENSA,74.0,40.0,52.0,67.0,55.0,63.0,,,,,,
473,MARC PUBILL,LEVANTE,DEFENSA,70.0,51.416666666666664,62.0,66.5,56.833333333333336,69.91666666666667,,,,,,
474,E. BARDHI,LEVANTE,CENTROCAMPISTA,76.0,86.0,79.0,82.0,59.0,67.0,,,,,,
475,MELERO,LEVANTE,CENTROCAMPISTA,63.0,66.0,69.0,65.0,69.0,66.0,,,,,,
476,PEPELU,LEVANTE,CENTROCAMPISTA,55.0,61.0,67.0,63.0,49.0,57.0,,,,,,
