,nombre,equipo,posicion,valor_en_M,ritmo,tiro,pase,regate,defensa,fisico,salto,estirada,parada,saque,colocacion,reflejo
212,GERARD MORENO,VILLARREAL,DELANTERO,['31.63'],79.0,76.0,77.0,82.0,47.0,79.0,,,,,,
213,S. CHUKWUEZE,VILLARREAL,DELANTERO,['23.85'],89.0,70.0,67.0,87.0,43.0,72.0,,,,,,
214,MOI GOMEZ,VILLARREAL,DELANTERO,['10.05'],70.0,71.0,78.0,77.0,50.0,70.0,,,,,,
215,YEREMY,VILLARREAL,DELANTERO,,75.25,69.125,68.25,77.875,42.625,70.0,,,,,,
216,T. KUBO,VILLARREAL,DELANTERO,['21.53'],83.0,65.0,66.0,86.0,45.0,67.0,,,,,,
217,C. BACCA,VILLARREAL,DELANTERO,['0.45'],68.0,68.0,64.0,72.0,37.0,69.0,,,,,,
218,P. ALCACER,VILLARREAL,DELANTERO,['7.87'],78.0,84.0,67.0,80.0,40.0,72.0,,,,,,
219,FER NINO,VILLARREAL,DELANTERO,['4.55'],67.0,58.0,56.0,67.0,38.0,70.0,,,,,,
220,DANI RABA,VILLARREAL,DELANTERO,['1.15'],68.0,61.0,71.0,72.0,41.0,61.0,,,,,,
221,ALEX MILLAN,VILLARREAL,DELANTERO,,75.25,69.125,68.25,77.875,42.625,70.0,,,,,,
222,RUBEN BLANCO,RC CELTA,PORTERO,['3.82'],,,,,,,62.0,79.0,75.0,73.0,76.0,74.0
223,IVAN VILLAR,RC CELTA,PORTERO,['2.11'],,,,,,,52.0,71.0,66.0,68.0,69.0,70.0
224,FERNANDEZ,RC CELTA,PORTERO,,,,,,,,59.333333333333336,75.0,67.0,72.0,72.0,75.0
225,PATRICK SEQUEIRA,RC CELTA,PORTERO,,,,,,,,59.333333333333336,75.0,67.0,72.0,72.0,75.0
226,A. FERNANDEZ,RC CELTA,PORTERO,,,,,,,,59.333333333333336,75.0,67.0,72.0,72.0,75.0
227,IAGO,RC CELTA,PORTERO,,,,,,,,59.333333333333336,75.0,67.0,72.0,72.0,75.0
228,BRAIS RODRIGUEZ,RC CELTA,PORTERO,,,,,,,,59.333333333333336,75.0,67.0,72.0,72.0,75.0
229,SERGIO ALVAREZ,RC CELTA,PORTERO,,,,,,,,64.0,75.0,60.0,75.0,71.0,81.0
230,N. ARAUJO,RC CELTA,DEFENSA,['14.85'],67.0,44.0,51.0,58.0,54.0,68.0,,,,,,
231,AARON,RC CELTA,DEFENSA,['12.36'],68.0,57.0,71.0,75.0,58.0,69.0,,,,,,
232,HUGO MALLO,RC CELTA,DEFENSA,['7.47'],67.0,48.0,69.0,68.0,57.0,76.0,,,,,,
233,J. AIDOO,RC CELTA,DEFENSA,['11.08'],75.0,27.0,35.0,54.0,53.0,76.0,,,,,,
234,DAVID COSTAS,RC CELTA,DEFENSA,['2.21'],64.0,42.0,56.0,62.0,55.0,66.0,,,,,,
235,JORGE SAENZ,RC CELTA,DEFENSA,['1.69'],65.0,44.0,57.0,61.0,64.0,71.0,,,,,,
236,L. OLAZA,RC CELTA,DEFENSA,['6.33'],77.0,75.0,73.0,74.0,64.0,69.0,,,,,,
237,J. MURILLO,RC CELTA,DEFENSA,['5.74'],74.0,40.0,57.0,67.0,59.0,77.0,,,,,,
238,SERGIO CARREIRA,RC CELTA,DEFENSA,,69.36363636363636,46.81818181818182,58.18181818181818,64.45454545454545,58.09090909090909,69.81818181818181,,,,,,
239,D. PAMPIN,RC CELTA,DEFENSA,['1.46'],68.0,35.0,46.0,60.0,60.0,59.0,,,,,,
240,KEVIN VAZQUEZ,RC CELTA,DEFENSA,['2.66'],69.0,50.0,64.0,64.0,59.0,63.0,,,,,,
241,C. DOMINGUEZ,RC CELTA,DEFENSA,,69.36363636363636,46.81818181818182,58.18181818181818,64.45454545454545,58.09090909090909,69.81818181818181,,,,,,
242,D. JUNCA,RC CELTA,DEFENSA,['0.99'],69.0,53.0,61.0,66.0,56.0,74.0,,,,,,
243,JOSE FONTAN,RC CELTA,DEFENSA,,69.36363636363636,46.81818181818182,58.18181818181818,64.45454545454545,58.09090909090909,69.81818181818181,,,,,,
244,GAEL ALONSO,RC CELTA,DEFENSA,,69.36363636363636,46.81818181818182,58.18181818181818,64.45454545454545,58.09090909090909,69.81818181818181,,,,,,
245,BRAIS MENDEZ,RC CELTA,CENTROCAMPISTA,['20.82'],72.0,73.0,75.0,73.0,45.0,68.0,,,,,,
246,D. SUAREZ,RC CELTA,CENTROCAMPISTA,['12.04'],74.0,73.0,81.0,79.0,54.0,68.0,,,,,,
247,F. BELTRAN,RC CELTA,CENTROCAMPISTA,['16.79'],66.0,57.0,72.0,75.0,62.0,69.0,,,,,,
248,R. TAPIA,RC CELTA,CENTROCAMPISTA,['18.72'],67.0,65.0,71.0,71.0,65.0,75.0,,,,,,
249,GABRI VEIGA,RC CELTA,CENTROCAMPISTA,,73.0,66.2,73.8,75.4,56.0,71.6,,,,,,
250,J. HOLSGROVE,RC CELTA,CENTROCAMPISTA,,73.0,66.2,73.8,75.4,56.0,71.6,,,,,,
251,A. SOLARI,RC CELTA,CENTROCAMPISTA,['2.80'],86.0,63.0,70.0,79.0,54.0,78.0,,,,,,
252,M. BAEZA,RC CELTA,CENTROCAMPISTA,,73.0,66.2,73.8,75.4,56.0,71.6,,,,,,
253,HUGO SOTELO,RC CELTA,CENTROCAMPISTA,,73.0,66.2,73.8,75.4,56.0,71.6,,,,,,
254,IAGO ASPAS,RC CELTA,DELANTERO,['3.73'],82.0,81.0,79.0,85.0,39.0,74.0,,,,,,
255,SANTI MINA,RC CELTA,DELANTERO,['10.71'],78.0,67.0,68.0,77.0,61.0,76.0,,,,,,
256,NOLITO,RC CELTA,DELANTERO,['0.66'],72.0,76.0,76.0,79.0,53.0,72.0,,,,,,
257,F. FERREYRA,RC CELTA,DELANTERO,['2.49'],64.0,60.0,57.0,72.0,37.0,69.0,,,,,,
258,E. MOR,RC CELTA,DELANTERO,['3.26'],81.0,62.0,64.0,83.0,42.0,63.0,,,,,,
259,MIGUEL RODRIGUEZ,RC CELTA,DELANTERO,,75.5,66.16666666666667,65.5,77.5,44.166666666666664,69.16666666666667,,,,,,
260,BRUNINHO,RC CELTA,DELANTERO,,75.5,66.16666666666667,65.5,77.5,44.166666666666664,69.16666666666667,,,,,,
261,ALFON GONZALEZ,RC CELTA,DELANTERO,['0.78'],76.0,51.0,49.0,69.0,33.0,61.0,,,,,,
262,LAUTI,RC CELTA,DELANTERO,,75.5,66.16666666666667,65.5,77.5,44.166666666666664,69.16666666666667,,,,,,
263,RUI SILVA,GRANADA,PORTERO,['12.82'],,,,,,,62.0,82.0,76.0,76.0,82.0,83.0
264,AARON ESCANDELL,GRANADA,PORTERO,['1.31'],,,,,,,69.0,67.0,70.0,66.0,67.0,72.0
265,RAFA,GRANADA,PORTERO,,,,,,,,62.666666666666664,71.0,69.66666666666667,65.66666666666667,71.0,72.66666666666667
266,ARNAU FABREGA,GRANADA,PORTERO,,,,,,,,62.666666666666664,71.0,69.66666666666667,65.66666666666667,71.0,72.66666666666667
267,JOAO COSTA,GRANADA,PORTERO,['0.29'],,,,,,,57.0,64.0,63.0,55.0,64.0,63.0
268,ANGEL JIMENEZ,GRANADA,PORTERO,,,,,,,,62.666666666666664,71.0,69.66666666666667,65.66666666666667,71.0,72.66666666666667
269,N. PEREZ,GRANADA,DEFENSA,['16.60'],65.0,27.0,40.0,51.0,52.0,69.0,,,,,,
270,D. DUARTE,GRANADA,DEFENSA,['10.48'],61.0,32.0,52.0,53.0,55.0,67.0,,,,,,
271,D. FOULQUIER,GRANADA,DEFENSA,['9.99'],79.0,55.0,68.0,74.0,61.0,75.0,,,,,,
272,CARLOS NEVA,GRANADA,DEFENSA,['4.11'],78.0,48.0,61.0,75.0,61.0,70.0,,,,,,
273,A. MARIN,GRANADA,DEFENSA,['5.01'],69.0,49.0,63.0,69.0,57.0,69.0,,,,,,
274,GERMAN SANCHEZ,GRANADA,DEFENSA,['0.96'],55.0,34.0,53.0,53.0,55.0,68.0,,,,,,
275,VICTOR DIAZ,GRANADA,DEFENSA,['1.28'],73.0,54.0,67.0,68.0,58.0,75.0,,,,,,
276,QUINI,GRANADA,DEFENSA,['1.89'],74.0,59.0,65.0,72.0,59.0,64.0,,,,,,
277,J. VALLEJO,GRANADA,DEFENSA,['2.70'],70.0,35.0,52.0,65.0,55.0,70.0,,,,,,
278,SERGIO BARCIA,GRANADA,DEFENSA,,68.72727272727273,43.54545454545455,56.18181818181818,63.27272727272727,55.72727272727273,68.63636363636364,,,,,,
279,RAUL TORRENTE,GRANADA,DEFENSA,,68.72727272727273,43.54545454545455,56.18181818181818,63.27272727272727,55.72727272727273,68.63636363636364,,,,,,
280,K. FOBI,GRANADA,DEFENSA,,68.72727272727273,43.54545454545455,56.18181818181818,63.27272727272727,55.72727272727273,68.63636363636364,,,,,,
281,NEYDER LOZANO,GRANADA,DEFENSA,['0.25'],65.0,39.0,44.0,57.0,49.0,67.0,,,,,,
282,PEPE SANCHEZ,GRANADA,DEFENSA,['0.38'],67.0,47.0,53.0,59.0,51.0,61.0,,,,,,
283,LUIS MILLA,GRANADA,CENTROCAMPISTA,['9.49'],77.0,69.0,75.0,76.0,64.0,76.0,,,,,,
284,Y. HERRERA,GRANADA,CENTROCAMPISTA,['15.37'],66.0,61.0,71.0,71.0,62.0,72.0,,,,,,
285,M. GONALONS,GRANADA,CENTROCAMPISTA,['3.08'],54.0,61.0,70.0,65.0,59.0,69.0,,,,,,
286,Y. ETEKI,GRANADA,CENTROCAMPISTA,['2.96'],66.0,51.0,63.0,70.0,59.0,74.0,,,,,,
287,FEDE VICO,GRANADA,CENTROCAMPISTA,['1.58'],70.0,64.0,75.0,76.0,55.0,63.0,,,,,,
288,D. QUINA,GRANADA,CENTROCAMPISTA,['2.48'],73.0,62.0,62.0,74.0,47.0,59.0,,,,,,
289,ANTONIO ARANDA,GRANADA,CENTROCAMPISTA,,64.625,59.375,67.875,69.875,56.25,68.125,,,,,,
290,E. ABEDINI,GRANADA,CENTROCAMPISTA,['0.86'],61.0,39.0,57.0,61.0,46.0,66.0,,,,,,
291,ALVARO BRAVO,GRANADA,CENTROCAMPISTA,,64.625,59.375,67.875,69.875,56.25,68.125,,,,,,
292,CHAPU BRUNET,GRANADA,CENTROCAMPISTA,,64.625,59.375,67.875,69.875,56.25,68.125,,,,,,
293,ISMA RUIZ,GRANADA,CENTROCAMPISTA,,64.625,59.375,67.875,69.875,56.25,68.125,,,,,,
294,CARLOS LEON,GRANADA,CENTROCAMPISTA,,64.625,59.375,67.875,69.875,56.25,68.125,,,,,,
295,MONTORO,GRANADA,CENTROCAMPISTA,['1.16'],50.0,68.0,70.0,66.0,58.0,66.0,,,,,,
296,ECHU,GRANADA,CENTROCAMPISTA,,64.625,59.375,67.875,69.875,56.25,68.125,,,,,,
297,ANTONIO PUERTAS,GRANADA,DELANTERO,['5.78'],78.0,65.0,71.0,78.0,45.0,76.0,,,,,,
298,DARWIN MACHIS,GRANADA,DELANTERO,['9.12'],88.0,73.0,73.0,86.0,45.0,78.0,,,,,,
299,JORGE MOLINA,GRANADA,DELANTERO,['0.05'],42.0,73.0,64.0,56.0,36.0,59.0,,,,,,
300,R. SOLDADO,GRANADA,DELANTERO,['0.03'],55.0,74.0,69.0,68.0,45.0,69.0,,,,,,
301,LUIS SUAREZ,GRANADA,DELANTERO,['12.91'],87.0,70.0,65.0,78.0,46.0,76.0,,,,,,
302,KENEDY,GRANADA,DELANTERO,['4.74'],82.0,70.0,74.0,81.0,53.0,73.0,,,,,,
303,ALBERTO SORO,GRANADA,DELANTERO,['2.26'],81.0,59.0,68.0,77.0,46.0,65.0,,,,,,
304,DANI PLOMER,GRANADA,DELANTERO,['0.15'],68.0,39.0,54.0,60.0,32.0,53.0,,,,,,
305,UNAI SIMON,ATHLETIC CLUB,PORTERO,['96.21'],,,,,,,63.0,82.0,77.0,74.0,84.0,83.0
306,I. HERRERIN,ATHLETIC CLUB,PORTERO,['0.66'],,,,,,,60.0,78.0,76.0,82.0,74.0,72.0
307,JOKIN EZKIETA,ATHLETIC CLUB,PORTERO,['0.36'],,,,,,,57.0,65.0,66.0,65.0,69.0,65.0
308,I. MARTINEZ,ATHLETIC CLUB,DEFENSA,['24.92'],71.0,63.0,67.0,66.0,60.0,78.0,,,,,,
309,DE MARCOS,ATHLETIC CLUB,DEFENSA,['6.33'],82.0,63.0,74.0,77.0,62.0,78.0,,,,,,
310,YERAY,ATHLETIC CLUB,DEFENSA,['13.07'],69.0,55.0,60.0,63.0,60.0,75.0,,,,,,
311,YURI,ATHLETIC CLUB,DEFENSA,['7.08'],83.0,71.0,78.0,78.0,63.0,82.0,,,,,,
312,INIGO LEKUE,ATHLETIC CLUB,DEFENSA,['6.92'],83.0,59.0,69.0,77.0,59.0,71.0,,,,,,
313,UNAI NUNEZ,ATHLETIC CLUB,DEFENSA,['8.51'],73.0,25.0,42.0,54.0,55.0,68.0,,,,,,
314,M. BALENZIAGA,ATHLETIC CLUB,DEFENSA,['2.88'],76.0,55.0,72.0,73.0,58.0,73.0,,,,,,
315,ANDER CAPA,ATHLETIC CLUB,DEFENSA,['4.98'],83.0,68.0,77.0,79.0,66.0,83.0,,,,,,
316,A. PAREDES,ATHLETIC CLUB,DEFENSA,,77.5,57.375,67.375,70.875,60.375,76.0,,,,,,
317,I. MUNIAIN,ATHLETIC CLUB,CENTROCAMPISTA,['15.72'],81.0,76.0,82.0,87.0,52.0,74.0,,,,,,
318,MIKEL VESGA,ATHLETIC CLUB,CENTROCAMPISTA,['9.17'],51.0,54.0,70.0,61.0,56.0,70.0,,,,,,
319,OIHAN SANCET,ATHLETIC CLUB,CENTROCAMPISTA,,62.666666666666664,64.5,72.0,72.0,57.666666666666664,73.0,,,,,,
320,DANI GARCIA,ATHLETIC CLUB,CENTROCAMPISTA,['6.67'],43.0,63.0,69.0,65.0,65.0,76.0,,,,,,
321,UNAI VENCEDOR,ATHLETIC CLUB,CENTROCAMPISTA,['19.00'],68.0,72.0,72.0,72.0,58.0,72.0,,,,,,
322,UNAI LOPEZ,ATHLETIC CLUB,CENTROCAMPISTA,['6.20'],75.0,72.0,77.0,80.0,60.0,76.0,,,,,,
323,PERU NOLASKOAIN,ATHLETIC CLUB,CENTROCAMPISTA,['2.34'],58.0,50.0,62.0,67.0,55.0,70.0,,,,,,
324,PRADOS,ATHLETIC CLUB,CENTROCAMPISTA,,62.666666666666664,64.5,72.0,72.0,57.666666666666664,73.0,,,,,,
325,OIER ZARRAGA,ATHLETIC CLUB,CENTROCAMPISTA,,62.666666666666664,64.5,72.0,72.0,57.666666666666664,73.0,,,,,,
326,BERNAOLA,ATHLETIC CLUB,CENTROCAMPISTA,,62.666666666666664,64.5,72.0,72.0,57.666666666666664,73.0,,,,,,
327,I. WILLIAMS,ATHLETIC CLUB,DELANTERO,['30.87'],94.0,73.0,73.0,82.0,39.0,82.0,,,,,,
328,ALEX BERENGUER,ATHLETIC CLUB,DELANTERO,['16.01'],83.0,71.0,72.0,83.0,59.0,73.0,,,,,,
329,NICO WILLIAMS,ATHLETIC CLUB,DELANTERO,,68.0,60.0,58.4,65.6,40.8,68.2,,,,,,
330,RAUL GARCIA,ATHLETIC CLUB,DELANTERO,['0.71'],14.0,16.0,14.0,16.0,15.0,41.0,,,,,,
331,INIGO VICENTE,ATHLETIC CLUB,DELANTERO,,68.0,60.0,58.4,65.6,40.8,68.2,,,,,,
332,ASIER VILLALIBRE,ATHLETIC CLUB,DELANTERO,['5.50'],74.0,60.0,53.0,70.0,38.0,75.0,,,,,,
333,JON MORCILLO,ATHLETIC CLUB,DELANTERO,,68.0,60.0,58.4,65.6,40.8,68.2,,,,,,
334,IBAI GOMEZ,ATHLETIC CLUB,DELANTERO,['0.53'],75.0,80.0,80.0,77.0,53.0,70.0,,,,,,
335,SERGIO HERRERA,OSASUNA,PORTERO,['9.92'],,,,,,,56.0,80.0,76.0,73.0,73.0,77.0
336,INAKI,OSASUNA,PORTERO,['0.16'],,,,,,,59.0,63.0,67.0,61.0,64.0,65.0
337,JUAN PEREZ,OSASUNA,PORTERO,['0.91'],,,,,,,45.0,63.0,65.0,57.0,65.0,67.0
338,RUBEN,OSASUNA,PORTERO,,,,,,,,75.0,73.0,72.0,73.0,74.0,75.0
339,IVAN MARTINEZ,OSASUNA,PORTERO,,,,,,,,58.75,69.75,70.0,66.0,69.0,71.0
340,DAVID GARCIA,OSASUNA,DEFENSA,['12.01'],55.0,36.0,58.0,59.0,57.0,69.0,,,,,,
341,NACHO VIDAL,OSASUNA,DEFENSA,['10.17'],77.0,50.0,70.0,71.0,59.0,68.0,,,,,,
342,JUAN CRUZ,OSASUNA,DEFENSA,,66.28571428571429,44.142857142857146,59.0,62.57142857142857,55.57142857142857,71.0,,,,,,
343,MANU SANCHEZ,OSASUNA,DEFENSA,['16.43'],73.0,43.0,59.0,70.0,57.0,65.0,,,,,,
344,ARIDANE,OSASUNA,DEFENSA,['3.30'],59.0,46.0,52.0,57.0,53.0,79.0,,,,,,
345,F. RONCAGLIA,OSASUNA,DEFENSA,['0.71'],66.0,58.0,65.0,63.0,57.0,72.0,,,,,,
346,J. RAMALHO,OSASUNA,DEFENSA,['1.65'],71.0,38.0,56.0,61.0,52.0,73.0,,,,,,
347,UNAI,OSASUNA,DEFENSA,['4.77'],63.0,38.0,53.0,57.0,54.0,71.0,,,,,,
348,G. ZABARTE,OSASUNA,DEFENSA,,66.28571428571429,44.142857142857146,59.0,62.57142857142857,55.57142857142857,71.0,,,,,,
349,MONCAYOLA,OSASUNA,CENTROCAMPISTA,['14.16'],68.0,57.0,70.0,69.0,59.0,66.0,,,,,,
350,LUCAS TORRO,OSASUNA,CENTROCAMPISTA,['8.24'],44.0,60.0,64.0,64.0,52.0,67.0,,,,,,
351,D. BRASANAC,OSASUNA,CENTROCAMPISTA,['5.48'],59.0,64.0,71.0,69.0,60.0,69.0,,,,,,
352,AIMAR OROZ,OSASUNA,CENTROCAMPISTA,,62.0,62.857142857142854,69.0,68.0,55.142857142857146,68.85714285714286,,,,,,
353,ROBERTO TORRES,OSASUNA,CENTROCAMPISTA,['2.89'],70.0,77.0,79.0,74.0,59.0,71.0,,,,,,
354,OIER,OSASUNA,CENTROCAMPISTA,['0.25'],65.0,58.0,71.0,68.0,61.0,72.0,,,,,,
355,JAVI MARTINEZ,OSASUNA,CENTROCAMPISTA,['4.35'],69.0,52.0,51.0,66.0,38.0,65.0,,,,,,
356,INIGO PEREZ,OSASUNA,CENTROCAMPISTA,['1.60'],59.0,72.0,77.0,66.0,57.0,72.0,,,,,,
357,J. CALLERI,OSASUNA,DELANTERO,['11.63'],71.0,64.0,62.0,72.0,44.0,75.0,,,,,,
358,CHIMY AVILA,OSASUNA,DELANTERO,['8.01'],82.0,71.0,64.0,77.0,48.0,78.0,,,,,,
359,RUBEN GARCIA,OSASUNA,DELANTERO,['7.88'],81.0,74.0,79.0,82.0,48.0,68.0,,,,,,
360,A. BUDIMIR,OSASUNA,DELANTERO,['9.97'],66.0,57.0,44.0,68.0,34.0,67.0,,,,,,
361,ENRIC GALLEGO,OSASUNA,DELANTERO,['0.13'],59.0,60.0,54.0,65.0,32.0,66.0,,,,,,
362,KIKE BARJA,OSASUNA,DELANTERO,['5.87'],77.0,51.0,62.0,75.0,37.0,66.0,,,,,,
363,ADRIAN,OSASUNA,DELANTERO,['0.53'],75.0,71.0,70.0,77.0,35.0,68.0,,,,,,
364,JONY,OSASUNA,DELANTERO,['1.16'],82.0,73.0,78.0,79.0,51.0,66.0,,,,,,
365,A. CORDOBA,OSASUNA,DELANTERO,,74.125,65.125,64.125,74.375,41.125,69.25,,,,,,
366,J. LEDESMA,CADIZ CF,PORTERO,['11.46'],,,,,,,67.0,76.0,74.0,67.0,74.0,77.0
367,DAVID GIL,CADIZ CF,PORTERO,['0.88'],,,,,,,57.0,66.0,69.0,67.0,61.0,65.0
368,J. GARRANCHO,CADIZ CF,PORTERO,,,,,,,,62.0,71.0,71.5,67.0,67.5,71.0
369,JUAN FLERE,CADIZ CF,PORTERO,,,,,,,,62.0,71.0,71.5,67.0,67.5,71.0
370,PACHA ESPINO,CADIZ CF,DEFENSA,,67.71428571428571,58.857142857142854,61.714285714285715,64.42857142857143,50.285714285714285,67.28571428571429,,,,,,
371,AKAPO,CADIZ CF,DEFENSA,['3.24'],84.0,54.0,60.0,69.0,52.0,75.0,,,,,,
372,FALI,CADIZ CF,DEFENSA,['6.82'],56.0,60.0,63.0,58.0,53.0,71.0,,,,,,
373,IZA,CADIZ CF,DEFENSA,['6.29'],79.0,69.0,70.0,73.0,58.0,70.0,,,,,,
374,P. ALCALA,CADIZ CF,DEFENSA,['0.93'],33.0,62.0,57.0,44.0,44.0,61.0,,,,,,
375,JAIRO IZQUIERDO,CADIZ CF,DEFENSA,['1.90'],88.0,57.0,61.0,79.0,39.0,57.0,,,,,,
376,ALEX MARTIN,CADIZ CF,DEFENSA,,67.71428571428571,58.857142857142854,61.714285714285715,64.42857142857143,50.285714285714285,67.28571428571429,,,,,,
377,JUAN CALA,CADIZ CF,DEFENSA,['3.64'],60.0,57.0,63.0,60.0,52.0,76.0,,,,,,
378,M. MAURO,CADIZ CF,DEFENSA,,67.71428571428571,58.857142857142854,61.714285714285715,64.42857142857143,50.285714285714285,67.28571428571429,,,,,,
379,SATURDAY,CADIZ CF,DEFENSA,,67.71428571428571,58.857142857142854,61.714285714285715,64.42857142857143,50.285714285714285,67.28571428571429,,,,,,
380,MOMO,CADIZ CF,DEFENSA,,67.71428571428571,58.857142857142854,61.714285714285715,64.42857142857143,50.285714285714285,67.28571428571429,,,,,,
381,L. QUEZADA,CADIZ CF,DEFENSA,['0.11'],74.0,53.0,58.0,68.0,54.0,61.0,,,,,,
382,MARC BARO,CADIZ CF,DEFENSA,,67.71428571428571,58.857142857142854,61.714285714285715,64.42857142857143,50.285714285714285,67.28571428571429,,,,,,
383,ALEX,CADIZ CF,CENTROCAMPISTA,['7.99'],54.0,63.0,73.0,67.0,67.0,65.0,,,,,,
384,J. JONSSON,CADIZ CF,CENTROCAMPISTA,['6.30'],73.0,54.0,63.0,70.0,56.0,75.0,,,,,,
385,A. FERNANDEZ,CADIZ CF,CENTROCAMPISTA,,69.0,66.0,75.0,75.0,71.0,72.0,,,,,,
386,JOSE MARI,CADIZ CF,CENTROCAMPISTA,['1.43'],68.0,67.0,67.0,67.0,55.0,71.0,,,,,,
387,JORGE POMBO,CADIZ CF,CENTROCAMPISTA,['0.81'],73.0,69.0,67.0,71.0,53.0,72.0,,,,,,
388,JON GARRIDO,CADIZ CF,CENTROCAMPISTA,,67.4,63.8,69.0,70.0,60.4,71.0,,,,,,
389,A. BASTIDA,CADIZ CF,CENTROCAMPISTA,,67.4,63.8,69.0,70.0,60.4,71.0,,,,,,
390,RUBEN SOBRINO,CADIZ CF,DELANTERO,['5.28'],79.0,71.0,62.0,75.0,37.0,68.0,,,,,,
391,A. NEGREDO,CADIZ CF,DELANTERO,['0.27'],63.0,74.0,61.0,67.0,39.0,75.0,,,,,,
392,CHOCO LOZANO,CADIZ CF,DELANTERO,['6.34'],80.0,60.0,64.0,73.0,38.0,74.0,,,,,,
393,SALVI,CADIZ CF,DELANTERO,,75.28571428571429,64.42857142857143,60.857142857142854,71.71428571428571,37.285714285714285,68.57142857142857,,,,,,
394,IVAN ALEJO,CADIZ CF,DELANTERO,['3.93'],77.0,68.0,73.0,76.0,41.0,66.0,,,,,,
395,BOBBY ADEKANYE,CADIZ CF,DELANTERO,['1.67'],73.0,53.0,53.0,70.0,36.0,57.0,,,,,,
396,MANU NIETO,CADIZ CF,DELANTERO,,75.28571428571429,64.42857142857143,60.857142857142854,71.71428571428571,37.285714285714285,68.57142857142857,,,,,,
397,A. PEREA,CADIZ CF,DELANTERO,,75.28571428571429,64.42857142857143,60.857142857142854,71.71428571428571,37.285714285714285,68.57142857142857,,,,,,
398,F. MALBASIC,CADIZ CF,DELANTERO,['1.32'],84.0,67.0,65.0,75.0,35.0,71.0,,,,,,
399,J. MARTIN,CADIZ CF,DELANTERO,,75.28571428571429,64.42857142857143,60.857142857142854,71.71428571428571,37.285714285714285,68.57142857142857,,,,,,
400,I. SAPONJIC,CADIZ CF,DELANTERO,['1.30'],71.0,58.0,48.0,66.0,35.0,69.0,,,,,,
401,KIKE,CADIZ CF,DELANTERO,,75.28571428571429,64.42857142857143,60.857142857142854,71.71428571428571,37.285714285714285,68.57142857142857,,,,,,
402,M. DIARRA,CADIZ CF,DELANTERO,,75.28571428571429,64.42857142857143,60.857142857142854,71.71428571428571,37.285714285714285,68.57142857142857,,,,,,
403,JASPER CILLESSEN,VALENCIA,PORTERO,['9.91'],,,,,,,71.0,82.0,81.0,78.0,81.0,81.0
404,JAUME DOMENECH,VALENCIA,PORTERO,['3.55'],,,,,,,72.0,73.0,77.0,75.0,71.0,75.0
405,CRISTIAN RIVERO,VALENCIA,PORTERO,['0.48'],,,,,,,65.0,71.0,60.0,62.0,62.0,73.0
406,ETXEBARRIA,VALENCIA,PORTERO,,,,,,,,69.33333333333333,75.33333333333333,72.66666666666667,71.66666666666667,71.33333333333333,76.33333333333333
407,J. GAYA,VALENCIA,DEFENSA,['38.34'],83.0,62.0,78.0,81.0,67.0,74.0,,,,,,
408,GABRIEL PAULISTA,VALENCIA,DEFENSA,['9.88'],69.0,52.0,69.0,66.0,61.0,79.0,,,,,,
409,THIERRY CORREIA,VALENCIA,DEFENSA,['14.38'],89.0,53.0,67.0,77.0,57.0,73.0,,,,,,
410,M. DIAKHABY,VALENCIA,DEFENSA,['12.13'],57.0,33.0,50.0,56.0,52.0,69.0,,,,,,
411,E. MANGALA,VALENCIA,DEFENSA,['1.97'],59.0,51.0,52.0,53.0,54.0,70.0,,,,,,
412,FERRO,VALENCIA,DEFENSA,['4.77'],54.0,43.0,51.0,55.0,56.0,65.0,,,,,,
413,TONI LATO,VALENCIA,DEFENSA,['3.71'],78.0,58.0,73.0,74.0,59.0,64.0,,,,,,
414,GUILLEM MOLINA,VALENCIA,DEFENSA,,69.85714285714286,50.285714285714285,62.857142857142854,66.0,58.0,70.57142857142857,,,,,,
415,J. VAZQUEZ,VALENCIA,DEFENSA,,69.85714285714286,50.285714285714285,62.857142857142854,66.0,58.0,70.57142857142857,,,,,,
416,C. SOLER,VALENCIA,CENTROCAMPISTA,['39.30'],78.0,74.0,78.0,78.0,59.0,72.0,,,,,,
417,D. WASS,VALENCIA,CENTROCAMPISTA,['14.58'],75.0,79.0,79.0,76.0,63.0,76.0,,,,,,
418,YUNUS MUSAH,VALENCIA,CENTROCAMPISTA,,68.5,67.5,71.16666666666667,71.0,53.666666666666664,68.83333333333333,,,,,,
419,HUGO GUILLAMON,VALENCIA,CENTROCAMPISTA,,68.5,67.5,71.16666666666667,71.0,53.666666666666664,68.83333333333333,,,,,,
420,KANG-IN LEE,VALENCIA,CENTROCAMPISTA,,68.5,67.5,71.16666666666667,71.0,53.666666666666664,68.83333333333333,,,,,,
421,U. RACIC,VALENCIA,CENTROCAMPISTA,['7.94'],63.0,70.0,74.0,69.0,60.0,75.0,,,,,,
422,C. OLIVA,VALENCIA,CENTROCAMPISTA,['1.56'],61.0,59.0,66.0,67.0,55.0,65.0,,,,,,
423,KOBA KOINDREDI,VALENCIA,CENTROCAMPISTA,['1.27'],68.0,70.0,66.0,67.0,44.0,65.0,,,,,,
424,VICENTE ESQUERDO,VALENCIA,CENTROCAMPISTA,['0.26'],66.0,53.0,64.0,69.0,41.0,60.0,,,,,,
425,G. GUEDES,VALENCIA,DELANTERO,['27.89'],86.0,77.0,76.0,83.0,45.0,74.0,,,,,,
